client_id,Delinquent90,MonthlyIncome,Age,NumberOfOpenCreditLinesAndLoans,DebtRatio,RevolvingUtilizationOfUnsecuredLines,NumberOfDependents,NumberRealEstateLoansOrLines,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate
625,0,1787.7537328084986,75,2,0.3401917540480709,0.6803061232801194,2,0,3,2,1
629,0,1399.4188774986658,92,4,0.7425807444352973,1.2640793815436577,4,1,4,0,1
571,1,1159.497808179,81,1,1.206380850574859,1.3274959155643438,0,2,0,0,0
666,0,3071.272028215162,78,13,0.7964918301332907,1.2721102509345412,2,1,4,1,0
659,0,292.7658589206477,92,7,0.5588288847257813,0.658425401283012,2,0,1,1,1
438,1,2231.6725380619805,92,13,0.7319091417102078,1.1790562518516225,4,3,1,0,1
194,1,2759.64445072502,68,1,0.602164351006746,0.29416005335361856,4,0,1,1,1
778,0,3130.529005068747,92,4,0.1074181565750161,1.2205413952622495,1,3,1,1,0
663,0,2624.547003512917,70,4,1.600775864645786,0.19179332889746575,4,2,0,1,1
189,1,1195.283629190661,81,6,0.7840305013927125,0.4573784713046827,4,3,1,2,2
222,1,2958.1675647335433,60,9,0.4881715937742741,1.0559819980815557,1,3,0,1,2
517,0,1603.025697845559,71,3,1.5524677446889474,1.175325387254003,2,1,4,0,0
536,0,968.8152554109688,71,3,0.646692974878067,0.8500070129360554,4,0,3,1,0
52,1,497.287297170356,48,5,1.1906302456794562,1.241451944365697,0,0,0,0,2
767,0,299.96916760749417,54,10,0.4205521336787486,0.11176885178795856,4,2,1,0,0
444,0,1881.896694646574,59,4,0.4560263784810291,0.46978433322011126,4,2,2,2,2
10,0,555.9425511720694,82,11,1.259223038614025,0.619343046227709,0,2,2,2,1
321,0,1175.4688868789626,71,7,1.472660539897263,0.7839610903086174,0,3,3,0,1
523,0,2258.8377414649767,74,2,1.2460453115183283,0.9632564098778958,2,1,2,2,2
212,0,2179.8462580996656,77,5,0.9378242601169298,0.36366459923178607,3,0,0,0,1
550,0,5457.171255148116,61,10,0.3610823738111861,0.76664376661465,3,1,0,1,0
789,0,1370.2215113988952,87,3,0.5901415652777968,0.9630972086996504,0,2,4,1,1
501,1,3791.7599390779465,77,10,1.6831136584150863,1.390172315651943,3,3,4,0,1
317,1,504.7364488310018,69,2,1.7844832126037478,1.0901863014566384,0,3,3,2,1
146,1,2508.034523352494,92,6,1.7488842011846748,0.5606956510271155,4,3,3,1,1
262,0,2219.959007284827,85,9,0.7699429520059389,0.5289503375164911,1,2,0,2,0
528,0,2018.0558492221023,49,10,0.7208139951358142,1.2192968125751054,2,3,0,1,1
