client_id,Delinquent90,MonthlyIncome,Age,NumberOfOpenCreditLinesAndLoans,DebtRatio,RevolvingUtilizationOfUnsecuredLines,NumberOfDependents,NumberRealEstateLoansOrLines,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate
0,0,2539.9259110702296,35,9,1.1139566689124647,0.9400494558393577,3,1,0,2,0
1,0,12323.170773131404,55,12,1.446860423189684,0.5547102057148602,4,0,2,2,2
2,0,4108.912435998515,59,6,1.3802245651548664,1.0373876078980897,0,3,3,2,0
3,0,6238.2877883965975,35,7,1.617320541151648,0.8519732334182685,2,1,2,0,1
4,0,5182.957449247659,26,3,1.4698135871819122,0.15830395007079695,0,3,1,0,2
5,1,3425.413723812248,62,5,0.5203540412350556,1.1719657043822693,1,3,4,2,2
6,0,551.9723466283482,27,11,1.044991588288794,0.9253106572889058,0,3,1,2,0
7,1,1139.8844369340425,48,9,0.605600330459086,0.9539739510684968,3,3,3,2,1
8,0,1548.0996715798403,32,3,0.6606351452375542,0.19733067757687775,3,0,2,1,0
9,0,824.0234230769115,26,8,1.6843054276909937,0.5679438285799022,3,1,0,0,0
10,0,1111.8851023441389,57,11,1.259223038614025,0.4764177278674684,0,2,2,2,1
11,0,4139.949350112462,27,2,1.75680370252688,1.115779737175892,1,2,0,0,2
12,1,4565.46479043581,52,1,0.8087513124218656,0.7904448880927641,3,0,4,1,2
13,1,6027.784918880437,53,6,1.0136438747017602,0.9961758552614544,4,2,3,2,1
14,0,1412.8338447892852,23,9,0.9280962138579169,0.5599263286514308,4,3,1,1,0
15,0,7555.8577473251125,29,5,0.28238799779033574,0.3113245300524934,0,3,2,0,0
16,0,1543.8706771625193,58,11,0.5023933906952257,0.68777250506821,2,1,3,0,0
17,0,593.3373522874347,44,12,0.9969818130276197,0.12338984451980162,0,0,1,1,0
18,0,2721.7579904883814,26,7,0.21453631872611062,1.0017758477914693,4,1,1,2,0
19,1,1403.2678249301623,67,5,1.6834852798251116,0.7764140589903745,0,1,2,1,2
20,0,4517.069860846168,33,1,0.31053425930373035,0.9218009010981798,4,1,1,2,0
21,0,11953.234809260282,21,11,0.4365672689087421,0.45770486334934857,0,1,3,0,0
22,1,3082.3286353640265,64,12,1.4010460806956822,1.1663027280541387,0,1,0,2,1
23,1,11670.36646869336,21,6,0.2647887210418333,1.0770892895205273,4,0,4,2,0
24,0,2596.845826512877,47,7,1.630472769346196,0.945141021634826,2,1,1,1,1
25,0,620.3848317292575,67,10,1.3336916502283105,0.2738345140297627,2,1,2,2,0
26,0,11265.10259914124,48,10,0.21665545708506012,0.5867291542860893,3,0,0,1,0
27,0,3367.257970184581,48,2,1.27614000418561,0.1003743306553131,1,3,1,1,1
28,1,9209.585392799367,39,9,1.1737685216912404,0.22743291587768,3,2,3,2,2
29,0,1557.7930163124802,26,13,1.3874940356578616,0.8355062962288228,2,3,1,2,1
30,0,4055.232552821122,47,10,1.507936349231871,0.9064764792939897,1,2,0,2,1
31,0,874.0020670972465,63,7,1.3211959573943635,1.1626361922993413,1,0,2,0,1
32,0,4688.271786093535,25,7,1.0964997019606522,0.4246991618588747,0,3,0,2,0
33,0,2754.177983103611,62,4,0.6481876415890221,0.4760286619400992,1,1,1,0,0
34,0,7888.842555824733,40,9,1.2853652251108794,0.5899891829671791,2,2,2,1,1
35,0,4713.181466211166,46,4,1.726851693872325,0.2678920629469285,0,1,2,1,0
36,1,4903.484475605509,28,5,1.0987870268990862,0.19940973113579238,0,1,3,1,2
37,1,2507.742137943343,50,4,1.2293862763382315,0.5970606651598238,3,1,3,2,1
38,0,5249.825324690044,29,5,0.8431176717396612,0.3109457514085167,2,1,4,2,0
39,0,6657.801375848873,33,5,1.3854053765632264,0.8202860938848868,0,2,0,0,1
40,0,3850.1629690319264,54,2,1.796034566975681,0.5527247067031803,3,2,1,0,0
41,0,8438.907109914619,23,10,0.37266185091515136,1.007579925466513,3,0,0,0,1
42,0,1683.0829032505042,42,6,0.4440889751563959,0.8553048673025865,0,0,0,2,2
43,0,3604.8149320370017,48,13,1.0170441897294622,0.4092216375893472,1,3,1,1,0
44,0,4854.457055172785,27,3,0.918338175344819,1.0070987716044812,1,2,2,2,1
45,1,2428.490079066788,34,9,1.0716686336614218,0.9754790111213221,3,3,4,2,0
46,0,1503.8289618250628,37,3,0.18342588113126418,0.4956001358847006,0,2,3,2,1
